001,Conj. Feminino c/ tiara 03 pçs,P/M/G,23.01
002,Conj. Masculino c/ boné 03 pçs,P/M/G,23.79
003,Conj. Pagão feminino 03 pçs,P/M/G,31.45
004,Conj. Pagão completo 04 pçs,Único,26.86
005,Sapato / Luvas 02 pçs,Único,8.37
006,Kit calcinha bordada 03 pçs,P/M/G,23.79
007,Kit vapt-vupt / fronha 02 pçs,Único,29.86
008,Kit maternidade 06 pçs,Único,45.56
009,Kit pano de xixi 02 pçs,Único,29.93
010,Kit pano de chupeta 04 pçs,Único,23.79
011,Kit de fralda 03 pçs,Único,29.15
012,Conj. camiseta bordada 03 pçs,P/M/G,23.79
013,Conj. vestido / calcinha/ chapéu 03 pçs,Único,28.39
014,Conj. vestido / calcinha / tiara 03 pçs,Único,31.45
015,Conj. camiseta / mijão 02 pçs,P/M/G,18.56
016,Conj. Feminino c/ chapéu 03 pçs,P/M/G,27.00
017,Toalha fralda sem capuz,Único,18.41
018,Kit fralda / camiseta 02 pçs,P/M/G,16.87
019,Kit camiseta / pano de chupeta 02 pçs,P/M/G,14.58
020,Kit calcinha / chapéu 02 pçs,P/M/G,16.04
021,Kit calcinha / tiara 02 pçs,P/M/G,11.28
022,Kit calcinha / pano de chupeta  02 pçs,P/M/G,14.58
023,Kit boné / short 02 pçs,P/M/G,13.04
024,Kit mijão 03 pçs,P/M/G,16.87
025,Kit tiara bordada 04 pçs,Único,9.98
026,Kit calcinha e camiseta 06 pçs,P/M/G,45.27
027,Kit recem-nascido 03 pçs,Único,13.04
028,Pijama infantil,P/M/G,28.39
029,Pijama c/ camisa aberta 02 pçs,P/M/G,29.15
030,Vestido c/ tiara 02 pçs,Único,31.45
031,Kit maternidade completo 09 pçs,Único,115.06
032, Kit cueca e camiseta 06 pçs ,P/M/G,42.96
033,Camiseta / Cueca 02 pçs,P/M/G,14.58
034,Camiseta / Calcinha 02 pçs,P/M/G,16.11
035,Kit pano de chupeta 02 pçs,Único,11.51
036,Toalha fralda com capuz,Único,16.87
037,Roupão baby,Único,26.08
038,Kit guardanapo de bebê 02 pçs,Único,11.51
039,Conj. Masculino regata 02 pçs,P/M/G,15.34
040,Conj. Machão 02 pçs,P/M/G,23.01
041,Kit cueca 03 pçs (extinto),P/M/G,-
042,Kit camiseta estampada 03 pçs (extinto),P/M/G,-
043,Macacão curto,Único,13.80
044,Macacão comprido,Único,23.01
045,Lençol c/ Elástico (Branco) - (extinto),Único,-
046,Pijama bebê ,Único,18.41
047,Conj. camisa c/ manga 02 pçs,P/M/G,16.87
048,Vapt-Vupt bordado 02 pçs,Único,34.65
049,Macacão Fem. / Sapato e Luva 03 pçs,Único,36.82
050,Boné ,P/M/G,7.20
051,Kit de short 03 pçs,P/M/G,16.87
052,Kit de luva 03 pçs ,Único,5.44
053,Manta,Único,40.66
054,Kit Babador 02 pçs,Único,13.01
055,Body c/ Mijão 02 pcs,Único,23.01
056,Body,Único,16.87
057,Conj. de Berço 03 pçs,Único,56.76
058,Conj. Pagão c/ casaco 03 pçs,Único,27.62
059,Macacão masc. Sapato/luva,Único,36.82
060,Kit maternidade c/ manta ,Único,78.24
061,Lençol  c/ Elástico,Único,19.94
062,Touca,Único,5.38
063,Manta de fustão,Único,46.13
064,Conj. Camiseta cueca e boné,P/M/G,25.32
065,Kit de três sapatos com luva,Único,23.01
066,Kit pano de xixi 03 pçs,Único,42.20
067,Conj. camiseta calcinha e tiara,P/M/G,23.01
068,Kit camiseta/manga 02 pçs,P/M/G,23.01
069,Roupão Infantil,P/M/G,38.35
070,Conj. de berço 02 pçs,Único,39.13
071,Conj. Pagão 02 pçs,Único,19.94
072,Sapato recém-nascido /c luva,Único,6.14
073,Vestido macacão,Único,29.15
074,Macacão de alça,Único,23.01
075,Toalha baby felpa,Único,20.72
076,Toalha capuz felpa,Único,21.48
077,Lençol de carrinho 02 pçs,Único,26.08
078,Conj. de berço malha 02 pçs,Único,35.28
079,Vestido passeio 02 pçs,Único,39.89
080,Vestido batinha 02 pçs,Único,33.75
081,Macacão masc. c/ boné,Único,32.21
082,Body branca c/ colorido 02 pçs,Único,21.48
083,Kit maternidade c/ macacão 04 pçs,Único,48.63
084,Kit cueca bordada c/ boné,P/M/G,16.11
085,Camiseta/ calcinha e chapeu 03 pçs,P/M/G,26.86
086,Kit cueca bordada 03 pçs,P/M/G,24.46
087,Pagão de gola 03 pçs,Único,23.29
088,Pagão c/ body 03 pçs,Único,30.16
089,Pagão passeio 03 pçs,Único,28.77
090,Conj. pagão básico 04 pçs,Único,24.12
091,Manta simples,Único,25.36
092,Conj. maternidade 5 pçs,Único,53.31
093,Body c/ short 02 pçs,P/M/G,22.61
094,Macacão passeio masc. 02 pçs,P/M/G,29.45
095,Macacão passeio fem. 02 pçs,P/M/G,28.09
096,Baby doll,P/M/G,14.96
097,Pijama curto,P/M/G,16.63
098,Capa bebê conforto,Único,47.42
099,Mijão individual,P/M/G,5.71
100,Macacão curto c/ boné 02 pçs,Único,22.49
101,Pijama regata 02 pçs,P/M/G,15.69
102,Conj. berço cercado c/ barra 02 pçs,Único,27.42
103,Conj. berço cercado bordado 02 pçs,Único,32.72
104,Camiseta Lisa,P/M/G,6.08
105,Macacão regata,Único,13.25
106,Manta porta-bebê,Único,69.32
107,Kit pano de chupeta fralda 04 pçs,Único,15.81
108,Kit fralda colorida 03 pçs,Único,19.46
109,Conj. camiseta regata 03 pçs,P/M/G,23.78
110,Macacão curto,Único,13.26
111,Camiseta/ short/ pano de chupeta 03 pçs,P/M/G,19.09
112,Kit fronha 02 pçs,Único,13.38
113,Lençol c/ elástico cercado ,Único,17.54
114,Fronha para travesseiro de amamentar,Único,19.22
115,Mosquiteiro cercado bordado,Único,16.44
116,Mosquiteiro cercado c/ barra,Único,15.24
117,Mosquiteiro cercado liso,Único,8.19
118,Conj. saia/ blusa e tiara 03 pçs ,Único,30.41
119,Macacão-colete c/ boné 02 pçs,Único,32.72
120,Macacão curto c/ boné 02 pçs,Único,31.51
121,Kit passeio 05 pçs,P/M/G,25.55
122,Kit lençol infantil de malha,Único,31.05
123,Kit cheirinho fralda 02 pçs,Único,10.24
124,Kit lençol xixi tecido 02 pçs,Único,37.14
125,Capa de carrinho,Único,34.05
126,Kit tiara 04 pçs ,Único,13.85
127,Roupão fralda,Único,21.81
128,Kit tapa fralda 03 pçs,P/M/G,14.68